collectid,spp,sizeclass,count
108,to,<BH,53
108,to,<2.5,54
108,to,<5,30
108,to,<6,4
108,to,<7,1
108,to,<8,1
108,to,<9,1
108,to,<10,2
108,df,<BH,2
108,df,<2.5,14
108,df,<5,1
108,df,<6,0
108,df,<7,0
108,df,<8,0
108,df,<9,0
108,df,<10,0
108,gf,<BH,0
108,gf,<2.5,1
108,gf,<5,0
108,gf,<6,0
108,gf,<7,0
108,gf,<8,0
108,gf,<9,0
108,gf,<10,0
109,df,<BH,24
109,df,<2.5,9
109,df,<5,4
109,df,<6,1
109,df,<7,0
109,df,<8,0
109,df,<9,0
109,df,<10,0
109,to,<BH,6
109,to,<2.5,20
109,to,<5,4
109,to,<6,0
109,to,<7,0
109,to,<8,0
109,to,<9,1
109,to,<10,0
109,rw,<BH,4
109,rw,<2.5,11
109,rw,<5,1
109,rw,<6,0
109,rw,<7,0
109,rw,<8,0
109,rw,<9,0
109,rw,<10,0
109,md,<BH,0
109,md,<2.5,1
109,md,<5,0
109,md,<6,0
109,md,<7,0
109,md,<8,0
109,md,<9,0
109,md,<10,0
110,md,<BH,4
110,md,<2.5,0
110,md,<5,0
110,md,<6,0
110,md,<7,0
110,md,<8,0
110,md,<9,0
110,md,<10,0
110,to,<BH,9
110,to,<2.5,6
110,to,<5,2
110,to,<6,0
110,to,<7,0
110,to,<8,0
110,to,<9,0
110,to,<10,0
110,df,<BH,1
110,df,<2.5,0
110,df,<5,0
110,df,<6,0
110,df,<7,0
110,df,<8,0
110,df,<9,0
110,df,<10,0
110,rw,<BH,3
110,rw,<2.5,8
110,rw,<5,4
110,rw,<6,0
110,rw,<7,0
110,rw,<8,0
110,rw,<9,0
110,rw,<10,0
110,gf,<BH,0
110,gf,<2.5,8
110,gf,<5,6
110,gf,<6,1
110,gf,<7,0
110,gf,<8,0
110,gf,<9,1
110,gf,<10,2
110,wm,<BH,0
110,wm,<2.5,2
110,wm,<5,0
110,wm,<6,0
110,wm,<7,0
110,wm,<8,0
110,wm,<9,1
110,wm,<10,0
110,cb,<BH,1
110,cb,<2.5,0
110,cb,<5,0
110,cb,<6,0
110,cb,<7,0
110,cb,<8,0
110,cb,<9,0
110,cb,<10,0
111,to,<BH,24
111,to,<2.5,46
111,to,<5,20
111,to,<6,3
111,to,<7,7
111,to,<8,4
111,to,<9,0
111,to,<10,1
111,df,<BH,0
111,df,<2.5,10
111,df,<5,4
111,df,<6,0
111,df,<7,0
111,df,<8,0
111,df,<9,0
111,df,<10,0
111,rw,<BH,0
111,rw,<2.5,4
111,rw,<5,2
111,rw,<6,2
111,rw,<7,0
111,rw,<8,0
111,rw,<9,0
111,rw,<10,0
111,wm,<BH,0
111,wm,<2.5,1
111,wm,<5,0
111,wm,<6,0
111,wm,<7,0
111,wm,<8,0
111,wm,<9,0
111,wm,<10,0
112,to,<BH,7
112,to,<2.5,15
112,to,<5,4
112,to,<6,1
112,to,<7,0
112,to,<8,1
112,to,<9,0
112,to,<10,0
112,df,<BH,8
112,df,<2.5,5
112,df,<5,4
112,df,<6,0
112,df,<7,1
112,df,<8,0
112,df,<9,0
112,df,<10,1
112,rw,<BH,0
112,rw,<2.5,2
112,rw,<5,0
112,rw,<6,0
112,rw,<7,0
112,rw,<8,0
112,rw,<9,0
112,rw,<10,0
112,gf,<BH,0
112,gf,<2.5,3
112,gf,<5,2
112,gf,<6,2
112,gf,<7,0
112,gf,<8,1
112,gf,<9,1
112,gf,<10,0
113,rw,<BH,3
113,rw,<2.5,1
113,rw,<5,4
113,rw,<6,0
113,rw,<7,1
113,rw,<8,0
113,rw,<9,1
113,rw,<10,0
113,to,<BH,28
113,to,<2.5,95
113,to,<5,14
113,to,<6,4
113,to,<7,0
113,to,<8,1
113,to,<9,1
113,to,<10,3
113,df,<BH,24
113,df,<2.5,23
113,df,<5,2
113,df,<6,0
113,df,<7,0
113,df,<8,0
113,df,<9,0
113,df,<10,0
113,gf,<BH,0
113,gf,<2.5,2
113,gf,<5,0
113,gf,<6,0
113,gf,<7,0
113,gf,<8,0
113,gf,<9,0
113,gf,<10,0
114,to,<BH,13
114,to,<2.5,37
114,to,<5,21
114,to,<6,14
114,to,<7,2
114,to,<8,1
114,to,<9,2
114,to,<10,0
114,cb,<BH,2
114,cb,<2.5,0
114,cb,<5,4
114,cb,<6,2
114,cb,<7,0
114,cb,<8,1
114,cb,<9,0
114,cb,<10,0
114,df,<BH,6
114,df,<2.5,14
114,df,<5,4
114,df,<6,0
114,df,<7,0
114,df,<8,0
114,df,<9,0
114,df,<10,0
114,gf,<BH,1
114,gf,<2.5,0
114,gf,<5,1
114,gf,<6,0
114,gf,<7,0
114,gf,<8,0
114,gf,<9,1
114,gf,<10,0
114,sx,<BH,0
114,sx,<2.5,1
114,sx,<5,4
114,sx,<6,2
114,sx,<7,0
114,sx,<8,3
114,sx,<9,2
114,sx,<10,1
114,rw,<BH,0
114,rw,<2.5,0
114,rw,<5,0
114,rw,<6,0
114,rw,<7,0
114,rw,<8,0
114,rw,<9,1
114,rw,<10,1
115,rw,<BH,5
115,rw,<2.5,23
115,rw,<5,6
115,rw,<6,1
115,rw,<7,0
115,rw,<8,0
115,rw,<9,0
115,rw,<10,0
115,to,<BH,23
115,to,<2.5,41
115,to,<5,3
115,to,<6,1
115,to,<7,1
115,to,<8,1
115,to,<9,0
115,to,<10,0
115,gc,<BH,7
115,gc,<2.5,2
115,gc,<5,0
115,gc,<6,0
115,gc,<7,0
115,gc,<8,0
115,gc,<9,0
115,gc,<10,0
116,to,<BH,39
116,to,<2.5,87
116,to,<5,12
116,to,<6,1
116,to,<7,2
116,to,<8,2
116,to,<9,0
116,to,<10,0
116,df,<BH,1
116,df,<2.5,1
116,df,<5,0
116,df,<6,0
116,df,<7,0
116,df,<8,0
116,df,<9,0
116,df,<10,0
116,rw,<BH,0
116,rw,<2.5,0
116,rw,<5,0
116,rw,<6,0
116,rw,<7,0
116,rw,<8,0
116,rw,<9,1
116,rw,<10,0
117,to,<BH,11
117,to,<2.5,20
117,to,<5,6
117,to,<6,7
117,to,<7,1
117,to,<8,0
117,to,<9,1
117,to,<10,0
117,df,<BH,16
117,df,<2.5,47
117,df,<5,8
117,df,<6,0
117,df,<7,1
117,df,<8,0
117,df,<9,0
117,df,<10,0
117,rw,<BH,0
117,rw,<2.5,4
117,rw,<5,4
117,rw,<6,1
117,rw,<7,1
117,rw,<8,0
117,rw,<9,0
117,rw,<10,0
118,to,<BH,20
118,to,<2.5,53
118,to,<5,49
118,to,<6,13
118,to,<7,0
118,to,<8,4
118,to,<9,1
118,to,<10,1
118,df,<BH,3
118,df,<2.5,2
118,df,<5,0
118,df,<6,0
118,df,<7,0
118,df,<8,0
118,df,<9,0
118,df,<10,0
119,to,<BH,111
119,to,<2.5,28
119,to,<5,0
119,to,<6,4
119,to,<7,2
119,to,<8,0
119,to,<9,1
119,to,<10,0
119,gf,<BH,7
119,gf,<2.5,0
119,gf,<5,0
119,gf,<6,0
119,gf,<7,0
119,gf,<8,0
119,gf,<9,0
119,gf,<10,0
119,df,<BH,4
119,df,<2.5,0
119,df,<5,0
119,df,<6,0
119,df,<7,0
119,df,<8,0
119,df,<9,0
119,df,<10,0
119,rw,<BH,2
119,rw,<2.5,2
119,rw,<5,3
119,rw,<6,1
119,rw,<7,0
119,rw,<8,0
119,rw,<9,0
119,rw,<10,1
119,cb,<BH,6
119,cb,<2.5,2
119,cb,<5,0
119,cb,<6,0
119,cb,<7,0
119,cb,<8,0
119,cb,<9,0
119,cb,<10,0
120,to,<BH,17
120,to,<2.5,39
120,to,<5,3
120,to,<6,0
120,to,<7,0
120,to,<8,1
120,to,<9,2
120,to,<10,0
120,cb,<BH,1
120,cb,<2.5,0
120,cb,<5,0
120,cb,<6,0
120,cb,<7,0
120,cb,<8,0
120,cb,<9,0
120,cb,<10,0
120,rw,<BH,8
120,rw,<2.5,2
120,rw,<5,0
120,rw,<6,0
120,rw,<7,0
120,rw,<8,0
120,rw,<9,0
120,rw,<10,0
121,to,<BH,59
121,to,<2.5,44
121,to,<5,9
121,to,<6,3
121,to,<7,0
121,to,<8,0
121,to,<9,0
121,to,<10,0
121,rw,<BH,16
121,rw,<2.5,6
121,rw,<5,5
121,rw,<6,3
121,rw,<7,0
121,rw,<8,2
121,rw,<9,0
121,rw,<10,2
121,md,<BH,10
121,md,<2.5,0
121,md,<5,0
121,md,<6,0
121,md,<7,0
121,md,<8,0
121,md,<9,0
121,md,<10,0
121,df,<BH,3
121,df,<2.5,0
121,df,<5,0
121,df,<6,0
121,df,<7,0
121,df,<8,0
121,df,<9,0
121,df,<10,0
122,df,<BH,3
122,df,<2.5,7
122,df,<5,2
122,df,<6,0
122,df,<7,0
122,df,<8,0
122,df,<9,0
122,df,<10,0
122,to,<BH,33
122,to,<2.5,20
122,to,<5,4
122,to,<6,2
122,to,<7,0
122,to,<8,0
122,to,<9,0
122,to,<10,1
122,md,<BH,1
122,md,<2.5,0
122,md,<5,0
122,md,<6,0
122,md,<7,0
122,md,<8,0
122,md,<9,0
122,md,<10,0
122,gf,<BH,2
122,gf,<2.5,2
122,gf,<5,3
122,gf,<6,0
122,gf,<7,1
122,gf,<8,0
122,gf,<9,0
122,gf,<10,0
122,rw,<BH,0
122,rw,<2.5,4
122,rw,<5,0
122,rw,<6,0
122,rw,<7,0
122,rw,<8,0
122,rw,<9,0
122,rw,<10,0
328,gf,<BH,8
328,gf,<2.5,2
328,gf,<5,2
328,gf,<6,2
328,gf,<7,0
328,gf,<8,0
328,gf,<9,1
328,gf,<10,0
328,to,<BH,8
328,to,<2.5,7
328,to,<5,15
328,to,<6,5
328,to,<7,7
328,to,<8,0
328,to,<9,1
328,to,<10,0
328,rw,<BH,4
328,rw,<2.5,2
328,rw,<5,5
328,rw,<6,4
328,rw,<7,1
328,rw,<8,1
328,rw,<9,2
328,rw,<10,2
328,cb,<BH,1
328,cb,<2.5,0
328,cb,<5,0
328,cb,<6,0
328,cb,<7,0
328,cb,<8,0
328,cb,<9,0
328,cb,<10,0
328,md,<BH,0
328,md,<2.5,0
328,md,<5,1
328,md,<6,0
328,md,<7,0
328,md,<8,0
328,md,<9,0
328,md,<10,0
328,df,<BH,0
328,df,<2.5,5
328,df,<5,3
328,df,<6,0
328,df,<7,1
328,df,<8,0
328,df,<9,0
328,df,<10,0
329,df,<BH,12
329,df,<2.5,26
329,df,<5,7
329,df,<6,1
329,df,<7,1
329,df,<8,0
329,df,<9,0
329,df,<10,0
329,to,<BH,13
329,to,<2.5,25
329,to,<5,8
329,to,<6,5
329,to,<7,2
329,to,<8,3
329,to,<9,2
329,to,<10,0
329,cb,<BH,2
329,cb,<2.5,0
329,cb,<5,0
329,cb,<6,0
329,cb,<7,0
329,cb,<8,0
329,cb,<9,0
329,cb,<10,0
329,gf,<BH,0
329,gf,<2.5,2
329,gf,<5,2
329,gf,<6,1
329,gf,<7,1
329,gf,<8,0
329,gf,<9,0
329,gf,<10,0
329,rw,<BH,8
329,rw,<2.5,20
329,rw,<5,9
329,rw,<6,0
329,rw,<7,1
329,rw,<8,0
329,rw,<9,0
329,rw,<10,0
123,rw,<BH,2
123,rw,<2.5,3
123,rw,<5,1
123,rw,<6,1
123,rw,<7,0
123,rw,<8,0
123,rw,<9,0
123,rw,<10,0
123,to,<BH,28
123,to,<2.5,46
123,to,<5,13
123,to,<6,3
123,to,<7,0
123,to,<8,0
123,to,<9,0
123,to,<10,0
123,df,<BH,6
123,df,<2.5,14
123,df,<5,0
123,df,<6,0
123,df,<7,0
123,df,<8,0
123,df,<9,0
123,df,<10,0
123,gf,<BH,2
123,gf,<2.5,4
123,gf,<5,2
123,gf,<6,0
123,gf,<7,0
123,gf,<8,0
123,gf,<9,0
123,gf,<10,0
124,rw,<BH,0
124,rw,<2.5,3
124,rw,<5,3
124,rw,<6,0
124,rw,<7,0
124,rw,<8,0
124,rw,<9,0
124,rw,<10,0
124,to,<BH,10
124,to,<2.5,11
124,to,<5,13
124,to,<6,0
124,to,<7,4
124,to,<8,2
124,to,<9,0
124,to,<10,0
124,df,<BH,38
124,df,<2.5,45
124,df,<5,7
124,df,<6,1
124,df,<7,0
124,df,<8,0
124,df,<9,0
124,df,<10,0
124,gf,<BH,13
124,gf,<2.5,3
124,gf,<5,3
124,gf,<6,0
124,gf,<7,0
124,gf,<8,0
124,gf,<9,0
124,gf,<10,0
125,rw,<BH,2
125,rw,<2.5,2
125,rw,<5,7
125,rw,<6,6
125,rw,<7,7
125,rw,<8,0
125,rw,<9,1
125,rw,<10,3
125,to,<BH,6
125,to,<2.5,15
125,to,<5,11
125,to,<6,12
125,to,<7,12
125,to,<8,0
125,to,<9,4
125,to,<10,2
125,df,<BH,3
125,df,<2.5,27
125,df,<5,7
125,df,<6,2
125,df,<7,0
125,df,<8,0
125,df,<9,0
125,df,<10,0
125,gf,<BH,3
125,gf,<2.5,1
125,gf,<5,0
125,gf,<6,0
125,gf,<7,0
125,gf,<8,0
125,gf,<9,0
125,gf,<10,0
126,rw,<BH,0
126,rw,<2.5,2
126,rw,<5,4
126,rw,<6,8
126,rw,<7,4
126,rw,<8,0
126,rw,<9,0
126,rw,<10,0
126,to,<BH,18
126,to,<2.5,32
126,to,<5,14
126,to,<6,8
126,to,<7,12
126,to,<8,5
126,to,<9,0
126,to,<10,3
126,df,<BH,1
126,df,<2.5,6
126,df,<5,2
126,df,<6,0
126,df,<7,2
126,df,<8,0
126,df,<9,0
126,df,<10,0
126,gf,<BH,0
126,gf,<2.5,0
126,gf,<5,1
126,gf,<6,0
126,gf,<7,0
126,gf,<8,0
126,gf,<9,0
126,gf,<10,0
127,rw,<BH,0
127,rw,<2.5,2
127,rw,<5,3
127,rw,<6,0
127,rw,<7,2
127,rw,<8,0
127,rw,<9,0
127,rw,<10,0
127,to,<BH,17
127,to,<2.5,14
127,to,<5,38
127,to,<6,21
127,to,<7,14
127,to,<8,6
127,to,<9,0
127,to,<10,2
127,df,<BH,3
127,df,<2.5,14
127,df,<5,5
127,df,<6,2
127,df,<7,3
127,df,<8,0
127,df,<9,0
127,df,<10,0
127,gf,<BH,1
127,gf,<2.5,0
127,gf,<5,1
127,gf,<6,0
127,gf,<7,0
127,gf,<8,1
127,gf,<9,0
127,gf,<10,0
348,to,<BH,18
348,to,<2.5,7
348,to,<5,3
348,to,<6,0
348,to,<7,1
348,to,<8,1
348,to,<9,0
348,to,<10,0
348,rw,<BH,7
348,rw,<2.5,0
348,rw,<5,0
348,rw,<6,0
348,rw,<7,0
348,rw,<8,0
348,rw,<9,0
348,rw,<10,0
348,df,<BH,3
348,df,<2.5,13
348,df,<5,8
348,df,<6,1
348,df,<7,2
348,df,<8,2
348,df,<9,0
348,df,<10,3
348,gf,<BH,1
348,gf,<2.5,9
348,gf,<5,4
348,gf,<6,0
348,gf,<7,0
348,gf,<8,0
348,gf,<9,0
348,gf,<10,0
348,cn,<BH,1
348,cn,<2.5,0
348,cn,<5,0
348,cn,<6,0
348,cn,<7,0
348,cn,<8,0
348,cn,<9,0
348,cn,<10,0
349,to,<BH,65
349,to,<2.5,54
349,to,<5,26
349,to,<6,3
349,to,<7,4
349,to,<8,4
349,to,<9,0
349,to,<10,0
349,md,<BH,71
349,md,<2.5,0
349,md,<5,0
349,md,<6,0
349,md,<7,0
349,md,<8,0
349,md,<9,0
349,md,<10,0
349,df,<BH,27
349,df,<2.5,4
349,df,<5,0
349,df,<6,0
349,df,<7,0
349,df,<8,0
349,df,<9,0
349,df,<10,0
349,rw,<BH,2
349,rw,<2.5,0
349,rw,<5,0
349,rw,<6,0
349,rw,<7,0
349,rw,<8,0
349,rw,<9,0
349,rw,<10,0
350,rw,<BH,2
350,rw,<2.5,38
350,rw,<5,10
350,rw,<6,2
350,rw,<7,0
350,rw,<8,0
350,rw,<9,0
350,rw,<10,0
350,to,<BH,10
350,to,<2.5,43
350,to,<5,5
350,to,<6,0
350,to,<7,0
350,to,<8,0
350,to,<9,0
350,to,<10,0
350,df,<BH,16
350,df,<2.5,35
350,df,<5,2
350,df,<6,1
350,df,<7,2
350,df,<8,0
350,df,<9,0
350,df,<10,0
350,md,<BH,5
350,md,<2.5,1
350,md,<5,0
350,md,<6,0
350,md,<7,0
350,md,<8,0
350,md,<9,0
350,md,<10,0
350,gf,<BH,1
350,gf,<2.5,2
350,gf,<5,1
350,gf,<6,0
350,gf,<7,0
350,gf,<8,0
350,gf,<9,0
350,gf,<10,0
324,to,<BH,9
324,to,<2.5,15
324,to,<5,0
324,to,<6,0
324,to,<7,0
324,to,<8,0
324,to,<9,0
324,to,<10,0
324,gf,<BH,6
324,gf,<2.5,2
324,gf,<5,3
324,gf,<6,0
324,gf,<7,0
324,gf,<8,0
324,gf,<9,0
324,gf,<10,0
324,rw,<BH,15
324,rw,<2.5,6
324,rw,<5,0
324,rw,<6,0
324,rw,<7,0
324,rw,<8,0
324,rw,<9,0
324,rw,<10,0
324,df,<BH,12
324,df,<2.5,27
324,df,<5,10
324,df,<6,6
324,df,<7,2
324,df,<8,1
324,df,<9,1
324,df,<10,2
325,to,<BH,15
325,to,<2.5,86
325,to,<5,0
325,to,<6,0
325,to,<7,0
325,to,<8,0
325,to,<9,0
325,to,<10,0
325,df,<BH,10
325,df,<2.5,0
325,df,<5,0
325,df,<6,0
325,df,<7,0
325,df,<8,0
325,df,<9,0
325,df,<10,0
128,rw,<BH,5
128,rw,<2.5,4
128,rw,<5,10
128,rw,<6,0
128,rw,<7,3
128,rw,<8,1
128,rw,<9,0
128,rw,<10,0
128,to,<BH,3
128,to,<2.5,8
128,to,<5,10
128,to,<6,4
128,to,<7,13
128,to,<8,0
128,to,<9,6
128,to,<10,2
128,df,<BH,10
128,df,<2.5,16
128,df,<5,5
128,df,<6,0
128,df,<7,0
128,df,<8,0
128,df,<9,0
128,df,<10,2
128,gf,<BH,1
128,gf,<2.5,6
128,gf,<5,0
128,gf,<6,1
128,gf,<7,1
128,gf,<8,0
128,gf,<9,0
128,gf,<10,0
129,rw,<BH,4
129,rw,<2.5,16
129,rw,<5,14
129,rw,<6,3
129,rw,<7,2
129,rw,<8,1
129,rw,<9,0
129,rw,<10,0
129,to,<BH,8
129,to,<2.5,18
129,to,<5,17
129,to,<6,6
129,to,<7,4
129,to,<8,2
129,to,<9,0
129,to,<10,1
129,df,<BH,2
129,df,<2.5,3
129,df,<5,3
129,df,<6,0
129,df,<7,0
129,df,<8,0
129,df,<9,0
129,df,<10,0
129,gf,<BH,9
129,gf,<2.5,8
129,gf,<5,9
129,gf,<6,2
129,gf,<7,0
129,gf,<8,0
129,gf,<9,0
129,gf,<10,0
130,rw,<BH,0
130,rw,<2.5,11
130,rw,<5,6
130,rw,<6,0
130,rw,<7,3
130,rw,<8,2
130,rw,<9,0
130,rw,<10,1
130,to,<BH,10
130,to,<2.5,15
130,to,<5,13
130,to,<6,9
130,to,<7,8
130,to,<8,0
130,to,<9,2
130,to,<10,0
130,df,<BH,6
130,df,<2.5,20
130,df,<5,2
130,df,<6,0
130,df,<7,0
130,df,<8,0
130,df,<9,0
130,df,<10,0
130,gf,<BH,13
130,gf,<2.5,26
130,gf,<5,2
130,gf,<6,0
130,gf,<7,0
130,gf,<8,0
130,gf,<9,0
130,gf,<10,0
131,rw,<BH,0
131,rw,<2.5,0
131,rw,<5,0
131,rw,<6,2
131,rw,<7,1
131,rw,<8,0
131,rw,<9,0
131,rw,<10,0
131,to,<BH,36
131,to,<2.5,29
131,to,<5,11
131,to,<6,1
131,to,<7,2
131,to,<8,3
131,to,<9,1
131,to,<10,0
131,df,<BH,2
131,df,<2.5,0
131,df,<5,1
131,df,<6,0
131,df,<7,0
131,df,<8,0
131,df,<9,0
131,df,<10,0
131,gf,<BH,3
131,gf,<2.5,8
131,gf,<5,5
131,gf,<6,2
131,gf,<7,0
131,gf,<8,0
131,gf,<9,0
131,gf,<10,0
132,rw,<BH,0
132,rw,<2.5,2
132,rw,<5,1
132,rw,<6,2
132,rw,<7,4
132,rw,<8,2
132,rw,<9,0
132,rw,<10,2
132,to,<BH,16
132,to,<2.5,14
132,to,<5,34
132,to,<6,16
132,to,<7,11
132,to,<8,7
132,to,<9,0
132,to,<10,1
132,df,<BH,3
132,df,<2.5,4
132,df,<5,1
132,df,<6,0
132,df,<7,1
132,df,<8,0
132,df,<9,0
132,df,<10,0
132,gf,<BH,0
132,gf,<2.5,5
132,gf,<5,2
132,gf,<6,0
132,gf,<7,0
132,gf,<8,0
132,gf,<9,0
132,gf,<10,0
132,md,<BH,0
132,md,<2.5,0
132,md,<5,3
132,md,<6,0
132,md,<7,1
132,md,<8,0
132,md,<9,0
132,md,<10,0
484,rw,<BH,0
484,rw,<2.5,4
484,rw,<5,3
484,rw,<6,0
484,rw,<7,0
484,rw,<8,0
484,rw,<9,1
484,rw,<10,0
485,df,<BH,1
485,df,<2.5,3
485,df,<5,0
485,df,<6,0
485,df,<7,1
485,df,<8,0
485,df,<9,2
485,df,<10,2
485,gf,<BH,7
485,gf,<2.5,0
485,gf,<5,1
485,gf,<6,0
485,gf,<7,0
485,gf,<8,0
485,gf,<9,0
485,gf,<10,0
485,to,<BH,34
485,to,<2.5,11
485,to,<5,7
485,to,<6,0
485,to,<7,1
485,to,<8,0
485,to,<9,0
485,to,<10,0
485,rw,<BH,9
485,rw,<2.5,4
485,rw,<5,0
485,rw,<6,0
485,rw,<7,0
485,rw,<8,0
485,rw,<9,0
485,rw,<10,0
485,wm,<BH,0
485,wm,<2.5,0
485,wm,<5,1
485,wm,<6,0
485,wm,<7,2
485,wm,<8,0
485,wm,<9,0
485,wm,<10,0
481,df,<BH,63
481,df,<2.5,2
481,df,<5,1
481,df,<6,0
481,df,<7,0
481,df,<8,0
481,df,<9,0
481,df,<10,2
481,to,<BH,23
481,to,<2.5,10
481,to,<5,0
481,to,<6,1
481,to,<7,0
481,to,<8,0
481,to,<9,0
481,to,<10,0
481,gf,<BH,1
481,gf,<2.5,6
481,gf,<5,1
481,gf,<6,0
481,gf,<7,0
481,gf,<8,0
481,gf,<9,1
481,gf,<10,0
481,rw,<BH,0
481,rw,<2.5,12
481,rw,<5,2
481,rw,<6,0
481,rw,<7,0
481,rw,<8,0
481,rw,<9,0
481,rw,<10,0
481,md,<BH,0
481,md,<2.5,1
481,md,<5,0
481,md,<6,0
481,md,<7,0
481,md,<8,0
481,md,<9,0
481,md,<10,0
482,rw,<BH,6
482,rw,<2.5,10
482,rw,<5,4
482,rw,<6,0
482,rw,<7,0
482,rw,<8,1
482,rw,<9,1
482,rw,<10,0
482,to,<BH,4
482,to,<2.5,18
482,to,<5,11
482,to,<6,0
482,to,<7,1
482,to,<8,0
482,to,<9,0
482,to,<10,2
482,gf,<BH,1
482,gf,<2.5,3
482,gf,<5,4
482,gf,<6,0
482,gf,<7,1
