stageid,site,treatment,burn,plotnum,treeid,distance,azimuth,notes
1,bob,ls,b,12,9772,8.14,328,
1,bob,ls,b,12,9787,3.8,96,
1,bob,ls,b,3,777,2.46,310,
1,bob,ls,b,3,786,1.61,39,
1,bob,ls,b,5,901,3.3,241,
1,bob,ls,b,5,904,6.8,10,
1,bob,ls,b,9,9790,10.4,164,
1,bob,ls,b,9,9794,4.1,21,
1,bob,ls,nb,1,701,2.15,211,
1,bob,ls,nb,1,714,3.58,108,
1,bob,ls,nb,12,837,1.42,179,
1,bob,ls,nb,12,824,10.0,34.7,
1,bob,ls,nb,3,581,5.14,30,dropped stage 2
1,bob,ls,nb,3,573,6.62,233,dropped stage 2
1,bob,ls,nb,6,9750,6.04,258,
1,bob,ls,nb,6,9761,7.95,32,
1,hare,np,b,10,795,2.94,133,
1,hare,np,b,10,783,4.3,344,
1,bob,ls,nb,9,842,2.99,170,
1,bob,ls,nb,9,849,4.49,345,
1,bob,m,b,1,944,3.99,280,
1,bob,m,b,1,949,6.51,17,
1,bob,m,b,11,896,10.98,14,
1,bob,m,b,11,877,6.33,193,
1,bob,m,b,4,9325,2.34,274,
1,bob,m,b,4,9338,5.59,179,
1,bob,m,b,6,858,3.01,220,
1,bob,m,b,6,867,1.19,38,
1,bob,m,b,7,938,4.44,137,
1,bob,m,b,7,925,6.69,4,
1,bob,m,nb,1,3342,7.46,93,dropped stage 2
1,bob,m,nb,1,3336,9.25,282,dropped stage 2
1,bob,m,nb,10,3333,5.08,94,dropped stage 2
1,bob,m,nb,10,3322,4.58,200,dropped stage 2
1,bob,m,nb,11,3272,9.0,279,
1,bob,m,nb,11,3389,2.7,75,
1,bob,m,nb,3,3353,2.5,60,
1,bob,m,nb,3,3348,5.1,284,
1,bob,m,nb,7,9432,4.84,328,
1,bob,m,nb,7,9440,2.43,97,
1,bob,m,nb,8,9806,5.6,82,
1,bob,m,nb,8,9803,11.2,295,
1,bob,m,nb,9,3393,6.2,311,
1,bob,m,nb,9,3391,6.0,205,
1,bob,np,b,1,974,3.4,279,
1,bob,np,b,1,980,6.9,61,
1,bob,np,b,12,9346,4.65,51,dropped stage 2
1,bob,np,b,12,9341,9.1,226,dropped stage 2
1,bob,np,b,3,964,4.3,336,
1,bob,np,b,3,959,10.1,220,
1,bob,np,b,6,987,6.0,222,
1,bob,np,b,6,1000,6.5,24,
1,bob,np,b,9,9419,9.3,55,
1,bob,np,b,9,9411,3.3,248,
1,bob,np,nb,1,3431,5.2,207,
1,bob,np,nb,1,3413,5.6,20,
1,bob,np,nb,11,3303,1.23,76,
1,bob,np,nb,11,3488,3.69,221,
1,bob,np,nb,2,3470,1.87,290,
1,bob,np,nb,2,3468,5.25,170,
1,bob,np,nb,7,3446,6.48,217,
1,bob,np,nb,7,3460,7.9,118,
1,camp8,ls,b,13,4400,3.2,229,
1,camp8,ls,b,13,4413,7.8,143,
1,camp8,ls,b,3,4356,3.5,240,
1,camp8,ls,b,3,4369,9.7,13,
1,camp8,ls,b,5,4433,9.5,353,
1,camp8,ls,b,5,4430,8.3,256,
1,camp8,ls,b,8,4422,4.9,330,
1,camp8,ls,b,8,4429,7.2,150,
1,camp8,m,nb,1,9023,1.37,169,ls and m treatment blocks swapped Dec 2022
1,camp8,m,nb,1,9002,6.1,342,ls and m treatment blocks swapped Dec 2022
1,camp8,m,nb,10,9163,8.5,104,dropped stage 2; ls and m treatment blocks swapped Dec 2022
1,camp8,m,nb,10,9157,5.8,281,dropped stage 2; ls and m treatment blocks swapped Dec 2022
1,camp8,m,nb,3,9041,5.37,66,ls and m treatment blocks swapped Dec 2022
1,camp8,m,nb,3,9034,9.63,292,ls and m treatment blocks swapped Dec 2022
1,camp8,m,nb,4,9177,6.9,335,ls and m treatment blocks swapped Dec 2022
1,camp8,m,nb,4,9167,6.1,194,ls and m treatment blocks swapped Dec 2022
1,camp8,m,nb,6,9127,5.1,218,ls and m treatment blocks swapped Dec 2022
1,camp8,m,nb,6,9151,9.8,109,ls and m treatment blocks swapped Dec 2022
1,camp8,m,b,11,9065,7.1,40,
1,camp8,m,b,11,9062,7.4,318,
1,camp8,m,b,13,4025,5.2,168,
1,camp8,m,b,13,4012,9.5,3.54,
1,camp8,m,b,17,9044,9.9,212,
1,camp8,m,b,17,9056,4.25,114,
1,camp8,m,b,5,4008,3.4,125,
1,camp8,m,b,5,4003,7.7,261,
1,camp8,m,b,6,9092,1.98,18,
1,camp8,m,b,6,9098,7.65,122,
1,camp8,ls,nb,12,9355,5.37,189,ls and m treatment blocks swapped Dec 2022
1,camp8,ls,nb,12,9364,8.0,17,ls and m treatment blocks swapped Dec 2022
1,camp8,ls,nb,2,9114,8.5,78,ls and m treatment blocks swapped Dec 2022
1,camp8,ls,nb,2,9110,10.6,291,ls and m treatment blocks swapped Dec 2022
1,camp8,ls,nb,4,9884,2.6,342,ls and m treatment blocks swapped Dec 2022
1,camp8,ls,nb,4,9107,9.1,168,ls and m treatment blocks swapped Dec 2022
1,camp8,ls,nb,6,9372,6.27,273,ls and m treatment blocks swapped Dec 2022
1,camp8,ls,nb,6,9374,6.09,0,ls and m treatment blocks swapped Dec 2022
1,camp8,ls,nb,7,9876,4.8,50,ls and m treatment blocks swapped Dec 2022
1,camp8,ls,nb,7,9385,4.2,312,ls and m treatment blocks swapped Dec 2022
1,camp8,np,b,10,4474,4.7,200,dropped stage 2
1,camp8,np,b,10,4477,10.4,297,dropped stage 2
1,camp8,np,b,2,4446,8.1,191,
1,camp8,np,b,2,4451,7.5,96,
1,camp8,np,b,4,4460,9.8,246,
1,camp8,np,b,4,4466,8.0,91,
1,camp8,np,b,7,4490,10.0,18,
1,camp8,np,b,7,4499,8.2,155,
1,camp8,np,b,8,9601,10.9,213,
1,camp8,np,b,8,9609,9.8,118,
1,camp8,np,nb,10,9694,2.5,64,
1,camp8,np,nb,10,9700,8.9,320,
1,camp8,np,nb,11,9713,6.2,228,
1,camp8,np,nb,11,9772,4.7,109,
1,camp8,np,nb,2,9643,5.5,322,
1,camp8,np,nb,2,9658,6.2,152,
1,camp8,np,nb,3,9662,10.1,257,
1,camp8,np,nb,3,9669,9.2,308,
1,camp8,np,nb,8,9713,7.1,135,
1,camp8,np,nb,8,9707,6.4,314,
1,crib,ls,b,1,3099,10.6,181,
1,crib,ls,b,1,3087,3.7,39,
1,crib,ls,b,11,3158,4.6,335,
1,crib,ls,b,11,3151,5.9,202,
1,crib,ls,b,14,3172,4.0,185,
1,crib,ls,b,14,3179,7.5,338,
1,crib,ls,b,21,3199,8.5,127,dropped stage 2
1,crib,ls,b,21,3198,6.9,26,dropped stage 2
1,crib,ls,b,23,9501,3.4,261,
1,crib,ls,b,23,9511,42.0,342,
1,crib,ls,b,8,3101,0.83,170,
1,crib,ls,b,8,3127,1.6,339,
1,crib,ls,nb,11,527,3.14,60,
1,crib,ls,nb,11,524,8.47,284,
1,crib,ls,nb,2,9282,3.32,262,
1,crib,ls,nb,2,9278,7.1,190,
1,crib,ls,nb,4,672,7.4,138,
1,crib,ls,nb,4,655,2.83,228,
1,crib,ls,nb,8,690,3.67,344,
1,crib,ls,nb,8,697,4.5,242,
1,crib,ls,nb,9,501,4.92,191,
1,crib,ls,nb,9,515,4.91,311,
1,crib,m,b,10,9902,8.53,254,
1,crib,m,b,10,9917,9.3,182,
1,crib,m,b,12,9802,5.2,294,
1,crib,m,b,12,9804,11.35,95,
1,crib,m,b,19,9932,11.2,77,
1,crib,m,b,19,9929,3.8,343,
1,crib,m,b,2,9517,1.94,197,
1,crib,m,b,2,9542,1.31,22,
1,crib,m,b,4,9569,2.19,230,recorded as plot 8 but corrected to 4
1,crib,m,b,4,9579,3.87,37,recorded as plot 8 but corrected to 4
1,crib,m,nb,1,9989,3.9,224,
1,crib,m,nb,1,9999,8.3,298,
1,crib,m,nb,10,611,2.13,57,
1,crib,m,nb,10,601,0.64,218,
1,crib,m,nb,3,9691,8.0,340,
1,crib,m,nb,3,9709,5.3,82,
1,crib,m,nb,5,9864,2.45,200,
1,crib,m,nb,5,9868,3.19,74,
1,crib,m,nb,6,628,3.94,306,
1,crib,m,nb,6,642,7.63,135,
1,crib,np,b,10,9951,,91,
1,crib,np,b,10,9937,4.0,222,
1,crib,np,b,12,9959,2.54,198,
1,crib,np,b,12,9984,2.34,21,
1,crib,np,b,17,9823,3.7,210,
1,crib,np,b,17,9850,2.6,101,
1,crib,np,b,2,9816,6.9,106,
1,crib,np,b,2,9814,9.2,71,
1,crib,np,b,4,9670,2.12,31,
1,crib,np,b,4,9648,1.98,172,
1,crib,np,nb,1,555,3.17,166,
1,crib,np,nb,1,541,2.27,280,
1,crib,np,nb,12,9847,3.55,166,
1,crib,np,nb,12,9834,1.57,346,
1,crib,np,nb,6,570,1.86,66,
1,crib,np,nb,6,564,2.55,305,
1,crib,np,nb,7,9809,2.21,214,
1,crib,np,nb,7,9815,3.37,12,
1,crib,np,nb,9,814,2.78,109,
1,crib,np,nb,9,804,6.57,278,
1,dun,ls,b,10,9465,7.9,123,
1,dun,ls,b,10,9448,3.7,350,
1,dun,ls,b,17,9497,3.23,142,
1,dun,ls,b,17,9475,2.57,321,
1,dun,ls,b,2,4393,3.5,66,dropped stage 2
1,dun,ls,b,2,9873,7.7,195,dropped stage 2
1,dun,ls,b,20,9849,3.7,258,
1,dun,ls,b,20,9866,0.75,26,
1,dun,ls,b,7,4349,4.6,43,
1,dun,ls,b,7,4337,4.7,268,
1,dun,ls,nb,1,4239,2.3,196,
1,dun,ls,nb,1,4258,7.1,54,
1,dun,ls,nb,10,4186,4.4,274,
1,dun,ls,nb,10,4236,10.2,69,
1,dun,ls,nb,3,4210,9.65,272,
1,dun,ls,nb,3,4217,7.8,44,
1,dun,ls,nb,6,4149,7.9,245,
1,dun,ls,nb,6,4162,4.3,52,
1,dun,ls,nb,8,4273,5.9,80,
1,dun,ls,nb,8,4285,2.2,230,
1,dun,m,b,1,3188,6.0,2,
1,dun,m,b,1,3200,5.5,168,
1,dun,m,b,10,3228,6.5,161,
1,dun,m,b,10,3330,2.9,290,
1,dun,m,b,3,3358,1.3,193,
1,dun,m,b,3,3365,2.5,330,
1,dun,m,b,6,3368,4.9,80,
1,dun,m,b,6,3377,3.3,331,
1,dun,m,b,9,3313,1.4,40,
1,dun,m,b,9,3304,1.7,210,
1,dun,m,nb,1,4133,4.1,261,
1,dun,m,nb,1,4140,5.8,153,
1,dun,m,nb,10,4055,1.33,150,
1,dun,m,nb,10,4033,1.18,275,
1,dun,m,nb,3,4119,3.6,243,
1,dun,m,nb,3,4125,6.7,350,
1,dun,m,nb,6,4105,7.8,343,
1,dun,m,nb,6,4085,10.6,272,
1,dun,m,nb,9,4070,8.1,60,
1,dun,m,nb,9,4059,19.1,260,
1,dun,np,b,1,3091,4.4,242,
1,dun,np,b,1,3103,5.8,129,
1,dun,np,b,11,9907,2.0,147,
1,dun,np,b,11,9787,7.1,278,
1,dun,np,b,4,3082,4.5,67,
1,dun,np,b,4,3070,7.2,221,
1,dun,np,b,5,3060,7.8,342,
1,dun,np,b,5,3064,5.9,90,
1,dun,np,b,7,9785,9.9,180,
1,dun,np,b,7,9771,7.7,265,
1,dun,np,nb,1,9949,4.3,242,
1,dun,np,nb,1,9960,2.3,28,
1,dun,np,nb,10,3035,5.9,347,
1,dun,np,nb,10,3042,3.6,99,
1,dun,np,nb,2,9970,1.5,50,
1,dun,np,nb,2,9977,9.1,170,
1,dun,np,nb,4,3108,2.4,201,
1,dun,np,nb,4,3126,2.2,90,
1,dun,np,nb,8,3150,8.7,96,
1,dun,np,nb,8,3143,3.3,300,
1,fair,ls,b,1,3261,1.68,46,
1,fair,ls,b,1,3251,3.15,207,
1,fair,ls,b,10,,,,
1,fair,ls,b,10,3683,4.61,6,
1,fair,ls,b,10,3672,4.45,222,
1,fair,ls,b,2,3246,2.7,74,
1,fair,ls,b,2,3234,4.4,292,
1,fair,ls,b,9,3223,3.7,84,dropped stage 2; recorded as plot 6 but corrected to plot 9
1,fair,ls,b,9,3205,5.5,191,dropped stage 2; recorded as plot 6 but corrected to plot 9
1,fair,ls,b,8,3669,2.19,164,dropped stage 2
1,fair,ls,b,8,3644,0.69,310,dropped stage 2
1,fair,ls,nb,1,741,1.9,45,
1,fair,ls,nb,1,723,3.0,261,
1,fair,ls,nb,11,9731,4.33,324,
1,fair,ls,nb,11,9747,7.6,150,
1,fair,ls,nb,4,9638,3.1,22,
1,fair,ls,nb,4,9634,6.3,292,
1,fair,ls,nb,5,9252,1.6,321,
1,fair,ls,nb,5,9263,2.67,170,
1,fair,ls,nb,7,9212,5.1,338,
1,fair,ls,nb,7,9222,6.2,143,
1,fair,m,b,10,3526,3.34,326,
1,fair,m,b,10,3540,2.98,141,
1,fair,m,b,3,3594,1.75,315,
1,fair,m,b,3,3610,4.4,89,
1,fair,m,b,4,3570,7.47,284,
1,fair,m,b,4,3585,8.6,177,
1,fair,m,b,6,3625,7.87,61,
1,fair,m,b,6,3612,1.34,206,
1,fair,m,b,7,3557,7.7,93,dropped stage 2
1,fair,m,b,7,3542,2.49,223,dropped stage 2
1,fair,m,nb,1,9616,2.6,335,
1,fair,m,nb,1,9626,7.6,64,
1,fair,m,nb,11,9921,4.4,274,
1,fair,m,nb,11,9931,2.3,37,
1,fair,m,nb,13,3023,6.6,117,
1,fair,m,nb,13,3014,5.1,2,
1,fair,m,nb,3,9726,1.5,211,dropped stage 2
1,fair,m,nb,3,9745,6.6,90,dropped stage 2
1,fair,m,nb,7,3161,5.0,235,
1,fair,m,nb,7,3180,6.5,156,
1,fair,np,b,2,9602,9.3,182,
1,fair,np,b,2,9618,5.48,74,
1,fair,np,b,3,3069,1.77,59,
1,fair,np,b,3,3078,4.01,161,
1,fair,np,b,5,3033,7.1,116,
1,fair,np,b,5,3028,5.1,205,
1,fair,np,b,7,3024,3.3,124,
1,fair,np,b,7,3007,3.1,271,
1,fair,np,b,9,3300,2.69,354,
1,fair,np,b,9,3271,4.31,202,
1,fair,np,nb,1,9572,1.4,307,
1,fair,np,nb,1,9575,8.3,83,
1,fair,np,nb,10,761,4.08,305,
1,fair,np,nb,10,772,7.92,129,
1,fair,np,nb,3,9544,4.32,215,
1,fair,np,nb,3,9557,7.44,113,
1,fair,np,nb,5,9521,3.71,232,
1,fair,np,nb,5,95538,0.63,49,
1,fair,np,nb,7,9519,7.77,172,
1,fair,np,nb,7,9510,1.42,2,
1,hare,ls,b,10,612,3.35,357,
1,hare,ls,b,10,608,9.6,289,
1,hare,ls,b,12,628,1.0,231,
1,hare,ls,b,12,636,1.8,38,
1,hare,ls,b,5,516,10.46,34,
1,hare,ls,b,5,684,7.4,119,
1,hare,ls,b,6,648,4.96,153,
1,hare,ls,b,6,652,2.69,9,
1,hare,ls,nb,10,3501,8.4,182,
1,hare,ls,nb,10,3509,8.8,322,
1,hare,ls,nb,2,2924,0.78,96,dropped stage 2
1,hare,ls,nb,2,3917,10.76,316,dropped stage 2
1,hare,ls,nb,4,3938,4.55,276,
1,hare,ls,nb,4,3956,7.44,157,
1,hare,ls,nb,6,3971,5.6,103,dropped stage 2
1,hare,ls,nb,6,3959,6.34,282,dropped stage 2
1,hare,ls,nb,9,3987,5.0,345,
1,hare,ls,nb,9,3980,8.7,204,
1,hare,m,b,1,962,5.49,136,
1,hare,m,b,1,979,,249,
1,hare,m,b,4,942,4.1,303,
1,hare,m,b,4,935,11.24,136,
1,hare,m,b,5,868,6.61,138,
1,hare,m,b,5,857,1.36,2,
1,hare,m,b,8,901,5.5,171,
1,hare,m,b,8,912,6.9,38,
1,hare,m,b,9,808,4.3,182,
1,hare,m,b,9,827,4.6,112,
1,hare,m,nb,1,3773,0.82,90,
1,hare,m,nb,1,3759,5.4,243,
1,hare,m,nb,10,991,1.15,132,
1,hare,m,nb,10,988,7.1,11,
1,hare,m,nb,3,3739,1.75,287,
1,hare,m,nb,3,3451,5.56,122,
1,hare,m,nb,5,3711,2.7,175,
1,hare,m,nb,5,3701,3.1,20,
1,hare,m,nb,9,3811,2.5,96,
1,hare,m,nb,9,3801,3.4,306,
1,hare,np,b,1,532,1.85,282,
1,hare,np,b,1,521,10.2,182,
1,hare,np,b,3,556,1.63,255,
1,hare,np,b,3,560,1.6,30,
1,hare,np,b,4,593,5.32,331,
1,hare,np,b,4,709,1.7,118,
1,hare,np,b,8,732,3.15,235,
1,hare,np,b,8,737,6.8,349,
1,hare,np,nb,1,3898,2.58,290,
1,hare,np,nb,1,3907,6.3,114,
1,hare,np,nb,11,3793,7.34,66,
1,hare,np,nb,11,3791,6.08,328,
1,hare,np,nb,5,3882,7.7,230,
1,hare,np,nb,5,3888,,82,
1,hare,np,nb,6,3862,2.44,242,
1,hare,np,nb,6,3881,5.2,151,
1,hare,np,nb,8,876,5.86,202,
1,hare,np,nb,8,895,1.76,25,
1,bob,m,b,2,3463,8.5,245,
1,bob,m,b,2,3464,11.0,108,
1,bob,m,nb,2,3289,7.8,203,
1,bob,m,nb,2,3291,2.2,96,
1,bob,np,b,10,3224,1.3,228,
1,bob,np,b,10,3239,4.2,120,
1,camp8,m,nb,2,3287,7.7,185,
1,camp8,m,nb,2,3271,8.6,230,
1,camp8,np,b,6,3423,5.3,358,
1,camp8,np,b,6,3430,6.2,39,
1,dun,ls,b,11,3411,6.8,358,dropped stage 2
1,dun,ls,b,11,3414,4.5,116,dropped stage 2
1,fair,ls,b,6,3444,3.3,290,
1,fair,ls,b,6,3450,3.6,126,
1,fair,ls,b,7,3517,1.5,295,
1,fair,ls,b,7,3501,5.3,196,
1,fair,m,b,2,3542,6.7,176,
1,fair,m,b,2,3552,7.7,264,
1,fair,m,nb,2,3400,3.7,55,
1,fair,m,nb,2,3379,7.3,222,
1,hare,ls,nb,3,3248,5.4,252,
1,hare,ls,nb,3,3262,3.7,43,
1,hare,ls,nb,5,3468,8.4,200,
1,hare,ls,nb,5,3477,1.6,38,
1,bob,ls,nb,5,211,4.4,320,
1,bob,ls,nb,5,213,5.1,34,
1,dun,ls,b,22,238,5.3,13,
1,dun,ls,b,22,248,6.8,141,
